pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
Proxima Cen b,Proxima Cen,3,1,2016,European Southern Observatory,11.1868,0.0029,-0.0031,0,0.04856,0.0003,-0.0003,0,1.03,,,0,1.07,0.06,-0.06,0,Msini,2900,100,-100,0,0.14,0.02,-0.02,0,0.12,0,0,0,,5.16,0.04,-0.04,0,14h29m34.43s,217.3934657,-62d40m34.26s,-62.6761821,1.30119,0.00034,-0.00035
eps Eri b,eps Eri,1,1,2000,Multiple Observatories,2671,17,-23,0,3.53,0.03,-0.04,0,14.1,,,0,209.76675,38.13941,-28.60456,0,Mass,5020.38,57.69,-57.69,0,0.76,0.01,-0.01,0,0.82,0.02,-0.02,0,[Fe/H],4.59,0.02,-0.02,0,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,3.2026,0.00483,-0.00483
GJ 887 b,GJ 887,1,2,2020,La Silla Observatory,9.262,0.001,-0.001,0,0.068,0.002,-0.002,0,1.88,,,0,4.2,0.6,-0.6,0,Msini,3688,86,-86,0,0.47,0.09,-0.09,0,0.49,0.05,-0.05,0,[Fe/H],4.78,,,0,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.29,0.01,-0.01
GJ 887 c,GJ 887,1,2,2020,La Silla Observatory,21.789,0.004,-0.005,0,0.12,0.004,-0.004,0,2.67,,,0,7.6,1.2,-1.2,0,Msini,3688,86,-86,0,0.47,0.09,-0.09,0,0.49,0.05,-0.05,0,[Fe/H],4.78,,,0,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.29,0.01,-0.01
Ross 128 b,Ross 128,1,1,2017,La Silla Observatory,9.8658,0.007,-0.007,0,0.0496,0.0017,-0.0017,0,1.11,,,0,1.4,0.21,-0.21,0,Msini,3192,60,-60,0,0.2,0.01,-0.01,0,0.17,0.02,-0.02,0,[M/H],5.05,0.02,-0.02,0,11h47m45.02s,176.9376036,+00d47m57.44s,0.7992898,3.37454,0.000805,-0.000805
GJ 15 A b,GJ 15 A,2,2,2014,W. M. Keck Observatory,11.4407,0.0017,-0.0016,0,0.072,0.003,-0.004,0,1.55,,,0,3.03,0.46,-0.44,0,Msini,3607,68,-68,0,0.38,0.05,-0.05,0,0.38,0.05,-0.05,0,[Fe/H],4.87,0.04,-0.04,0,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.56228,0.00055,-0.00055
GJ 15 A c,GJ 15 A,2,2,2018,Roque de los Muchachos Observatory,7600,2200,-1700,0,5.4,1,-0.9,0,6.67,,,0,36,25,-18,0,Msini,3607,68,-68,0,0.38,0.05,-0.05,0,0.38,0.05,-0.05,0,[Fe/H],4.87,0.04,-0.04,0,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.56228,0.00055,-0.00055
tau Cet e,tau Cet,1,4,2017,Multiple Observatories,162.87,1.08,-0.46,0,0.538,0.06,-0.06,0,1.81,,,0,3.93,0.83,-0.64,0,Msini,5310,17,-17,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,[Fe/H],4.52,0.02,-0.01,0,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.60304,0.00678,-0.00675
tau Cet f,tau Cet,1,4,2017,Multiple Observatories,636.13,11.7,-47.69,0,1.334,0.017,-0.044,0,1.81,,,0,3.93,1.05,-1.37,0,Msini,5310,17,-17,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,[Fe/H],4.52,0.02,-0.01,0,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.60304,0.00678,-0.00675
tau Cet g,tau Cet,1,4,2017,Multiple Observatories,20,0.02,-0.01,0,0.133,0.001,-0.002,0,1.18,,,0,1.75,0.25,-0.4,0,Msini,5310,17,-17,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,[Fe/H],4.52,0.02,-0.01,0,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.60304,0.00678,-0.00675
tau Cet h,tau Cet,1,4,2017,Multiple Observatories,49.41,0.08,-0.1,0,0.243,0.003,-0.003,0,1.19,,,0,1.83,0.68,-0.26,0,Msini,5310,17,-17,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,[Fe/H],4.52,0.02,-0.01,0,01h44m02.23s,26.0093029,-15d56m01.68s,-15.9337987,3.60304,0.00678,-0.00675
eps Ind A b,eps Ind A,3,1,2019,La Silla Observatory,16510,2100,-1740,0,28.4,10,-7.2,0,12.7,,,0,2005.49725,190.69704,-177.98391,0,Mass,4760,15,-15,0,0.68,0,0,0,0.76,0.04,-0.04,0,[Fe/H],5.25,0.18,-0.34,0,22h03m29.14s,330.8714021,-56d47m48.85s,-56.7969023,3.63857,0.00333,-0.00333
GJ 1061 b,GJ 1061,1,3,2020,La Silla Observatory,3.204,0.001,-0.001,0,0.021,0.001,-0.001,0,1.1,,,0,1.37,0.16,-0.15,0,Msini,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,[Fe/H],5.16,0.04,-0.04,0,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.67278,0.00089,-0.0009
GJ 1061 c,GJ 1061,1,3,2020,La Silla Observatory,6.689,0.005,-0.005,0,0.035,0.001,-0.001,0,1.18,,,0,1.74,0.23,-0.23,0,Msini,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,[Fe/H],5.16,0.04,-0.04,0,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.67278,0.00089,-0.0009
GJ 1061 d,GJ 1061,1,3,2020,La Silla Observatory,13.031,0.025,-0.032,0,0.054,0.001,-0.001,0,1.16,,,0,1.64,0.24,-0.23,0,Msini,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,[Fe/H],5.16,0.04,-0.04,0,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.67278,0.00089,-0.0009
YZ Cet b,YZ Cet,1,3,2017,La Silla Observatory,2.02087,0.00007,-0.00009,0,0.01634,0.00035,-0.00041,0,0.913,,,0,0.7,0.09,-0.08,0,Msini,3151,51,-51,0,0.16,0.01,-0.01,0,0.14,0.01,-0.01,0,[Fe/H],5.17,0.07,-0.07,0,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207,0.00109,-0.00109
YZ Cet c,YZ Cet,1,3,2017,La Silla Observatory,3.05989,0.0001,-0.0001,0,0.02156,0.00046,-0.00054,0,1.05,,,0,1.14,0.11,-0.1,0,Msini,3151,51,-51,0,0.16,0.01,-0.01,0,0.14,0.01,-0.01,0,[Fe/H],5.17,0.07,-0.07,0,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207,0.00109,-0.00109
